City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Mareeba,AU,-17.0,145.4333,90.66,58,1,8.5,clear sky
242,Anadyr,RU,64.75,177.4833,-34.01,73,20,8.95,mist
243,Barrow,US,71.2906,-156.7887,-34.58,100,0,8.05,haze
244,Saint Anthony,US,45.0205,-93.218,7.25,66,0,14.97,clear sky
245,Caconda,AO,-13.7333,15.0667,55.53,85,70,1.54,broken clouds
246,Maumere,ID,-8.6199,122.2111,80.24,82,100,2.82,light rain
247,Necochea,AR,-38.5473,-58.7368,56.03,62,73,9.95,broken clouds
248,Mayumba,GA,-3.432,10.6554,76.46,91,44,5.66,scattered clouds
249,Moindou,NC,-21.6924,165.677,84.15,78,98,7.63,light rain
250,Daru,PG,-9.0763,143.2092,83.08,67,100,6.08,overcast clouds
251,Champerico,GT,14.3,-91.9167,82.35,73,0,5.66,clear sky
252,Abong Mbang,CM,3.9833,13.1833,59.59,35,31,2.17,scattered clouds
253,Kyabram,AU,-36.3167,145.05,90.37,21,17,8.12,few clouds
254,Laurel,US,39.0993,-76.8483,58.46,44,0,9.22,clear sky
255,Vytegra,RU,61.0064,36.4481,19.71,92,100,11.1,overcast clouds
256,Souillac,MU,-20.5167,57.5167,83.35,89,40,0.0,scattered clouds
257,Cruz Grande,MX,16.7333,-99.1333,77.38,67,69,3.6,broken clouds
258,Kavieng,PG,-2.5744,150.7967,83.35,71,52,6.64,broken clouds
259,Masallatah,LY,32.6167,14.0,51.03,62,89,8.97,overcast clouds
260,Beira,MZ,-19.8436,34.8389,80.69,69,75,8.05,broken clouds
261,Nago,JP,26.5881,127.9761,75.27,71,80,11.65,broken clouds
262,Norman Wells,CA,65.282,-126.8329,-29.16,68,20,2.3,few clouds
263,Tiarei,PF,-17.5333,-149.3333,80.62,74,74,13.47,broken clouds
264,Fairview,US,40.8126,-73.999,54.23,48,0,17.0,clear sky
265,Haines Junction,CA,60.7522,-137.5108,24.75,74,100,2.3,overcast clouds
266,Saint-Louis,SN,16.3333,-15.0,67.46,14,55,11.56,broken clouds
267,Khatanga,RU,71.9667,102.5,-2.02,85,93,12.37,overcast clouds
268,Flinders,AU,-34.5833,150.8552,75.79,90,81,4.0,moderate rain
269,Moron,AR,-34.6534,-58.6198,60.03,92,100,9.33,light rain
270,Ancud,CL,-41.8697,-73.8203,53.42,83,74,5.28,broken clouds
271,Maragogi,BR,-9.0122,-35.2225,77.27,85,42,7.54,scattered clouds
272,Narsaq,GL,60.9167,-46.05,30.42,89,100,8.84,light snow
273,Prince Rupert,CA,54.3161,-130.3201,38.89,87,0,8.05,clear sky
274,Pangnirtung,CA,66.1451,-65.7125,3.63,96,100,1.97,light snow
275,Roald,NO,62.5833,6.1333,37.99,79,100,22.1,overcast clouds
276,Shelburne,CA,44.0787,-80.2041,33.91,99,100,15.66,overcast clouds
277,Rosarito,MX,32.3333,-117.0333,70.14,52,0,1.86,clear sky
278,Moron De La Frontera,ES,37.1208,-5.454,50.49,89,26,3.06,scattered clouds
279,Lewistown,US,40.5992,-77.5714,53.82,93,40,4.61,scattered clouds
280,Hailey,US,43.5196,-114.3153,24.66,74,0,6.91,clear sky
281,Bolnisi,GE,41.4479,44.5384,27.99,55,1,2.1,clear sky
282,Innisfail,AU,-17.5333,146.0333,95.22,62,2,8.63,clear sky
283,Kokuy,RU,52.2037,117.5529,-3.8,89,97,3.0,overcast clouds
284,Sinnamary,GF,5.3833,-52.95,75.79,89,79,9.13,broken clouds
285,Tibiao,PH,11.2915,122.0354,80.37,81,100,7.34,overcast clouds
286,Wanning,CN,18.8003,110.3967,71.6,73,66,12.39,broken clouds
287,Lasa,IT,46.6166,10.7002,28.62,36,3,1.79,clear sky
288,Emerald,AU,-23.5333,148.1667,91.35,35,19,5.75,few clouds
289,Verkhnyaya Inta,RU,65.9811,60.3094,6.31,75,100,12.5,overcast clouds
290,Tilichiki,RU,60.4667,166.1,-13.94,89,3,8.43,clear sky
291,Fershampenuaz,RU,53.5202,59.8117,2.93,98,74,5.97,broken clouds
292,Bredy,RU,52.4153,60.3411,9.99,93,31,7.78,scattered clouds
293,Saint-Leu,RE,-21.15,55.2833,80.56,73,70,10.18,broken clouds
294,Baruun-Urt,MN,46.6806,113.2792,0.09,76,96,2.66,overcast clouds
295,Kloulklubed,PW,7.0419,134.2556,84.7,75,34,19.04,scattered clouds
296,Gizo,SB,-8.103,156.8419,83.16,67,87,5.17,overcast clouds
297,Tukrah,LY,32.5341,20.5791,50.31,79,0,8.34,clear sky
298,Staryy Nadym,RU,65.6118,72.6842,-5.21,81,75,16.75,broken clouds
299,Grindavik,IS,63.8424,-22.4338,27.07,80,0,12.66,clear sky
300,Santiago Del Estero,AR,-27.7951,-64.2615,65.37,85,100,9.95,overcast clouds
301,Isangel,VU,-19.55,169.2667,87.91,74,40,6.91,scattered clouds
302,Tungor,RU,53.3808,142.9564,23.47,84,99,7.23,overcast clouds
303,Mwingi,KE,-0.9344,38.0601,69.46,67,35,0.49,scattered clouds
304,Vaitape,PF,-16.5167,-151.75,82.0,70,97,14.03,overcast clouds
305,Smidovich,RU,48.6,133.8167,17.42,93,100,5.03,light snow
306,Cockburn Town,TC,21.4612,-71.1419,77.49,84,2,23.49,clear sky
307,Bardiyah,LY,31.7561,25.0865,51.51,71,3,6.51,clear sky
308,Calabozo,VE,8.9242,-67.4293,79.05,55,39,10.13,scattered clouds
309,Alta Floresta,BR,-9.8756,-56.0861,70.9,97,95,2.35,overcast clouds
310,Bow Island,CA,49.8668,-111.3684,21.58,65,48,5.75,scattered clouds
311,Ahipara,NZ,-35.1667,173.1667,76.73,88,87,22.37,overcast clouds
312,Mehamn,NO,71.0357,27.8492,24.3,65,93,8.9,light snow
313,La Rioja,ES,42.25,-2.5,33.12,77,35,5.73,scattered clouds
314,Shache,CN,38.4167,77.2406,39.33,33,67,0.81,broken clouds
