City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
695,Trairi,BR,76.95,broken clouds,-3.2778,-39.2689,janelas do mar
698,Kawalu,ID,85.69,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
701,Mount Gambier,AU,82.31,clear sky,-37.8333,140.7667,The Commodore
707,Gambela,ET,82.49,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
713,Namibe,AO,75.49,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
715,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
719,Perth,AU,86.18,few clouds,-31.9333,115.8333,Beatty Lodge
722,Quatre Cocos,MU,82.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
727,Kuching,MY,86.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
728,Labuhan,ID,79.65,overcast clouds,-6.8844,112.2051,DoubleFAG
729,Kandy,LK,78.03,overcast clouds,7.2955,80.6356,Thilanka Hotel - Kandy
744,Meiktila,MM,80.24,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
747,Puerto Carreno,CO,79.74,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
750,Buderim,AU,77.45,light rain,-26.6833,153.05,Amore on Buderim Rainforest Cabins
752,Sabang,ID,79.63,overcast clouds,5.8933,95.3214,Hotel Citra
757,Sibolga,ID,79.93,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
759,Mudgee,AU,77.79,broken clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
762,Kinarut,MY,87.82,few clouds,5.8231,116.0466,Langkah Syabas Beach Resort
763,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
766,Acajutla,SV,78.8,clear sky,13.5928,-89.8275,Laureles
777,Launceston,AU,76.6,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
779,Wonthaggi,AU,83.05,few clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
796,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
801,Saint-Georges,GD,77.0,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
803,Tabuk,PH,78.42,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
804,Xam Nua,LA,75.24,scattered clouds,20.4197,104.0439,Xee Wang Guesthouse
809,Gamboma,CG,76.8,overcast clouds,-1.8764,15.8644,Residence N'Keni
812,Camocim,BR,76.08,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
815,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
830,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
832,Vao,NC,80.62,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
833,Inhambane,MZ,78.19,clear sky,-23.865,35.3833,Oceano
840,Gold Coast,AU,79.34,light intensity shower rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
842,Loa Janan,ID,76.86,light rain,-0.583,117.095,Kost bu jono
846,Bosaso,SO,76.98,few clouds,11.2842,49.1816,Red Sea Hotel
852,Finschhafen,PG,81.52,overcast clouds,-6.6024,147.8681,Cossam Guest House
854,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
872,San Policarpo,PH,79.32,moderate rain,12.1791,125.5072,Agapita M. Nicart
874,Victoria Point,AU,81.18,scattered clouds,-27.5833,153.3,Bay Retreat Motel
889,Allapalli,IN,79.36,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
911,Cururupu,BR,75.38,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
912,Singapore,SG,87.94,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
919,Pandan,PH,76.26,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
920,Atambua,ID,81.55,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
925,Mahanoro,MG,78.67,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
927,Diu,IN,77.61,few clouds,20.7141,70.9822,Hotel Relax Inn
930,Balabac,PH,82.42,moderate rain,7.9868,117.0645,Batalla’s Lodging House
932,Galesong,ID,82.42,light rain,-5.3166,119.3661,Sapriadi Appy
934,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
937,Puerto Escondido,MX,75.94,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
940,Mana,GF,76.21,broken clouds,5.6592,-53.7767,LE SAMANA
946,Batticaloa,LK,80.24,overcast clouds,7.7102,81.6924,Grand Star Guest House
947,Bulolo,PG,85.41,broken clouds,-7.2,146.65,Pine Lodge Bulolo
948,Semporna,MY,88.0,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
950,Yenagoa,NG,76.03,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
964,Takoradi,GH,78.01,broken clouds,4.8845,-1.7554,Raybow International Hotel
965,Grand Gaube,MU,83.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
972,Robertsport,LR,77.61,clear sky,6.7533,-11.3686,Kwepunha Retreat
982,Kirakira,SB,81.68,moderate rain,-10.4544,161.9205,SanBiz Lodge
988,Banda Aceh,ID,82.63,broken clouds,5.5577,95.3222,Sulthan Hotel International
1000,Kollam,IN,85.87,broken clouds,8.8833,76.6,Nani Hotels and Resorts
1003,Kapoeta,SS,82.26,light rain,4.7717,33.5903,Eastgate Hotel
1010,Mogadishu,SO,76.87,clear sky,2.0371,45.3438,Hotel Juba
1021,Whyalla,AU,82.29,clear sky,-33.0333,137.5833,Foreshore Motor Inn
1033,Harper,LR,77.99,few clouds,4.375,-7.7169,Screensaver
1040,Soyo,AO,76.14,broken clouds,-6.1349,12.3689,Hotel Mpampa
1041,Gorontalo,ID,81.72,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
1055,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
1062,Kilindoni,TZ,80.55,broken clouds,-7.9139,39.6668,Bustani B&B
1066,Caraballeda,VE,78.87,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
1069,Ocos,GT,81.32,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
1081,Coffs Harbour,AU,75.47,broken clouds,-30.3,153.1333,Aquajet Motel
1082,Yarada,IN,80.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
1089,Kudahuvadhoo,MV,81.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
1092,Aloleng,PH,85.73,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
1094,Oron,NG,76.95,clear sky,4.8256,8.2343,Aqua Belloni Lodge
1100,West Bay,KY,78.01,clear sky,19.3667,-81.4167,Calypso Cove
1101,Yeppoon,AU,87.58,clear sky,-23.1333,150.7333,Villa Mar Colina
1110,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1112,Eydhafushi,MV,81.09,overcast clouds,5.1033,73.0708,Soneva Fushi
1116,Cubatao,BR,79.29,overcast clouds,-23.895,-46.4253,Hotel do Farol
1119,Sri Aman,MY,86.05,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
1121,Manggar,ID,85.96,broken clouds,-2.8833,108.2667,Guest Hotel
1126,Kalmunai,LK,78.98,overcast clouds,7.4167,81.8167,VS Villa
1142,Mae Sot,TH,84.15,clear sky,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
1146,Sabana De Torres,CO,79.41,broken clouds,7.3915,-73.4957,Hotel el Milagro
1164,Sawtell,AU,75.52,broken clouds,-30.3833,153.1,The Bungalow Sawtell
1166,Exu,BR,75.61,scattered clouds,-7.5119,-39.7242,Pousada Albuquerque
1170,Mildura,AU,89.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
1171,Gibara,CU,75.15,clear sky,21.1097,-76.1317,Sol y Mar
1172,Bowen,AU,86.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
1174,Arawa,PG,80.47,light rain,-6.2132,155.5367,Coastline Guest House
1179,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
1180,Yanam,IN,79.2,broken clouds,16.7333,82.2167,The Regency Hotel
1182,Tacloban,PH,79.38,light rain,11.243,125.0081,Zpad Residences
1183,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
1184,Lufilufi,WS,82.18,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
1185,Xapuri,BR,75.58,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
1186,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
1191,Nisia Floresta,BR,80.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
1194,Sassandra,CI,76.42,few clouds,4.95,-6.0833,la terrasse
1196,Det Udom,TH,89.26,overcast clouds,14.906,105.0784,Chatsuda Resort
